Concepto,Tipo,Fecha,Importe,Mes
teclado,Gasto,2025-07-06T00:55:00.000+02:00,10.0,2025-07
teclado trasnferencia,Ahorro,2025-07-06T00:54:00.000+02:00,-10.0,2025-07
macdonals ,Gasto,2025-07-05T21:56:00.000+02:00,10.2,2025-07
napolitana ,Gasto,2025-07-05T21:27:00.000+02:00,0.85,2025-07
cerveza,Gasto,2025-07-05T17:52:00.000+02:00,4.8,2025-07
Sushi,Gasto,2025-07-04T10:30:00.000+02:00,26.4,2025-07
icloud mensual,Gasto,2025-07-04T15:21:00.000+02:00,2.99,2025-07
Nómina Junio - 115 en Inversiones,Ahorro,2025-07-04T09:35:00.000+02:00,435.0,2025-07
Emergentes,Inversión,2025-07-04T09:29:00.000+02:00,15.5,2025-07
MSCI World,Inversión,2025-07-04T09:29:00.000+02:00,100.0,2025-07
café,Gasto,2025-07-01T08:06:00.000+02:00,1.6,2025-07
café,Ingreso,2025-07-02T08:06:00.000+02:00,2.0,2025-07
café,Gasto,2025-07-02T08:05:00.000+02:00,1.6,2025-07
Café ,Gasto,2025-07-02T08:05:00.000+02:00,2.7,2025-07
Agua y aquarius voley,Gasto,2025-07-02T08:04:00.000+02:00,1.9,2025-07
Nómina ,Ingreso,2025-07-04T08:03:00.000+02:00,550.0,2025-07
Paga 1,Ingreso,2025-07-01T07:32:00.000+02:00,70.0,2025-07
Almuerzo,Gasto,2025-07-03,5.5,2025-07
